BAGLANTI_TIP_ID;HAT_NO;HAT_ADI;GUZERGAH_ACIKLAMA;ACIKLAMA;HAT_BASLANGIC;HAT_BITIS;GIDIS_CALISMA_SAATI;DONUS_CALISMA_SAATI
2;709;DEMİRCİ - PANCAR AKTARMA MERKEZİ;YOĞURTÇULAR - AYRANCILAR;;DEMİRCİ;PANCAR;06:10 - 18:15;06:50 - 18:50
2;710;YAZIBAŞI - KUŞÇUBURUN AKTARMA MERKEZİ;KUŞÇUBURUN;;YAZIBAŞI;KUŞÇUBURUN AKTARMA;06:35 - 21:00;07:10 - 21:20
2;712;PANCAR AKTARMA - TORBALI;AYRANCILAR - BAHÇELİEVLER TOKİ - KUŞÇUBURUN;;PANCAR AKTARMA;ÇAYBAŞI;05:40 - 23:20;06:00 - 23:10
2;713;DEÜ MESLEK YÜKSEK OKULU - TORBALI;DEVLET HASTANESİ-TEPEKÖY AKT-ÇAYBAŞI;;DEÜ MESLEK YÜKSEK OKULU;TORBALI;06:55 - 23:20;06:00 - 22:40
2;714;DEÜ MESLEK YÜKSEK OKULU - TORBALI AKTARMA MERKEZİ;Devlet hastanesi - Tepeköy Aktarma - Haluk Alpsü Bulvarı;;DEÜ MESLEK YÜKSEK OKULU;TORBALI;07:15 - 00:00;06:15 - 23:10
2;715;DEÜ MESLEK YÜKSEK OKULU - TORBALI AKTARMA MERKEZİ;DEVLET HAS.-ATATÜRK MH.-TEPEKÖY AKT.;;DEÜ MESLEK YÜKSEK OKULU;TORBALI AKTARMA MERKEZİ;06:55 - 19:45;06:55 - 19:45
2;719;ÇAPAK - TORBALI;TEPEKÖY AKTARMA - ÇAYBAŞI;;ÇAPAK;TORBALI;06:20 - 18:30;07:00 - 19:20
2;721;KARAKUYU - TORBALI;FİDANLIK - KEMALPAŞA YOLU;;KARAKUYU;ÇAYBAŞI;06:30 - 21:50;05:50 - 21:00
2;722;YAZIBAŞI - TORBALI;KUŞÇUBURUN;;YAZIBAŞI;ÇAYBAŞI;06:35 - 22:30;06:35 - 21:35
2;724;ŞEHİTLER - TORBALI AKTARMA MERKEZİ;EĞERCİLER -ÇAYBAŞI;;ŞEHİTLER;TORBALI AKTARMA;06:35 - 22:45;05:55 - 22:00
2;727;BAYINDIR - TORBALI AKTARMA MERKEZİ;CANLI - ÇIRPI - HASKÖY - YENİKÖY;;BAYINDIR;TORBALI AKTARMA;05:00 - 00:00;06:00 - 01:00
2;728;KISIK SANAYİ - SARNIÇ AKTARMA MERKEZİ;ORMAN SAHASI - BELEDİYE GARAJI-SAĞLIK OCAĞI;;KISIK SANAYİ;SARNIÇ AKT.;06:57 - 19:35;06:20 - 20:10
2;729;ATAKÖY - CUMAOVASI AKTARMA MERKEZİ;ÇAMÖNÜ-DEĞİRMENDERE-ÇİLEME;;ATAKÖY;CUMAOVASI AKT.;05:50 - 22:05;06:10 - 22:00
2;741;YAMANLAR KÖYÜ - KARŞIYAKA;YENİ GİRNE - GİRNE;;YAMANLAR KÖYÜ;KARŞIYAKA İSKELE;06:50 - 16:40;07:30 - 17:35
2;742;SANCAKLI KÖYÜ - KARŞIYAKA;DOĞANÇAY - KUBİLAY CAD. - GİRNE;;SANCAKLI KÖYÜ;KARŞIYAKA İSKELE;06:50 - 16:40;07:30 - 17:35
2;743;TİRE - SELÇUK;Selçuk Cad. - Tire Yolu - Belevi;;TİRE;SELÇUK;06:40 - 19:30;07:15 - 19:00
